"PlayerID","FirstName","LastName","Multiplicity"
8450115,"Normie","Smith",1
8450119,"Doug","Stevenson",1
8450120,"Charles","Stewart",1
8450121,"Herb","Stuart",1
8450122,"Dave","Tataryn",1
8450123,"Bobby","Taylor",1
8450126,"Harvey","Teno",1
8450127,"Tiny","Thompson",1
8450129,"Ted","Tucker",1
8450132,"Mike","Palmateer",1
8450137,"Georges","Vezina",1
8450138,"Gilles","Villemure",1
8450140,"Darren","Pang",1
8450144,"Flat","Walsh",1
8450147,"Carl","Wetzel",1
8450148,"Dunc","Wilson",1
8450150,"Hal","Winkler",1
8450152,"Gump","Worsley",1
8450153,"Roy","Worters",1
8450154,"Chris","Worthy",1
8450178,"Bernie","Parent",1
8450209,"Dave","Parro",1
8450311,"Steve","Penney",1
8450343,"Pete","Peeters",1
8450344,"Jim","Pettie",1
8450390,"Frank","Pietrangelo",1
8450468,"Michel","Plasse",1
8450627,"Daren","Puppa",1
8450651,"Bill","Ranford",1
8450657,"Andre","Racicot",1
8450702,"Daryl","Reaugh",1
8450727,"Eldon","Reddick",1
8450743,"Jeff","Reese",1
8450802,"Glenn","Resch",1
8450806,"Nick","Ricci",1
8450829,"Terrance","Richardson",1
8450830,"Curt","Ridley",1
8450833,"Mike","Richter",1
8450834,"Vincent","Riendeau",1
8450835,"Pat","Riggin",1
8450993,"Roberto","Romano",1
8451013,"Michael","Rosati",1
8451033,"Patrick","Roy",1
8451076,"Jim","Rutherford",1
8451143,"Bob","Sauve",1
8451236,"Ron","Scott",1
8451308,"Richard","Sevigny",1
8451369,"Peter","Sidorkiewicz",1
8451406,"Paul","Skidmore",1
8451407,"Warren","Skorodenski",1
8451474,"Al","Smith",1
8451525,"Billy","Smith",1
8451528,"Gary","Smith",1
8451595,"Doug","Soetaert",1
8451626,"Rick","St. Croix",1
8451655,"Ed","Staniowski",1
8451685,"Robb","Stauber",1
8451695,"Wayne","Stephenson",1
8451701,"Greg","Stefan",1
8451743,"Sam","St. Laurent",1
8451834,"Rick","Tabaracci",1
8451837,"Ron","Tugnutt",1
8451845,"Kari","Takko",1
8451859,"John","Tanner",1
8451860,"Chris","Terreri",1
8451891,"Wayne","Thomas",1
8451958,"Vincent","Tremblay",1
8452122,"Rogie","Vachon",1
8452157,"John","Vanbiesbrouck",1
8452205,"Mike","Veisor",1
8452217,"Mike","Vernon",1
8452246,"Jimmy","Waite",1
8452247,"Ernie","Wakely",1
8452248,"Darcy","Wakaluk",1
8452287,"Rick","Wamsley",1
8452355,"Steve","Weeks",1
8452440,"Kay","Whitmore",1
8452519,"Bernie","Wolfe",1
8452535,"Ken","Wregget",1
8452576,"Wendell","Young",1
8452581,"Michael","Zanier",1
8455501,"Mike","Bales",1
8455633,"John","Blue",1
8455710,"Martin","Brodeur",1
8455994,"Byron","Dafoe",1
8456137,"Mike","Dunham",1
8456191,"Chad","Erickson",1
8456264,"Wade","Flaherty",1
8456411,"David","Goverde",1
8456692,"Arturs","Irbe",1
8456830,"Trevor","Kidd",1
8456855,"Rick","Knickle",1
8456917,"Les","Kuntar",1
8457025,"Ray","Leblanc",1
8457049,"Mike","Lenarduzzi",1
8457463,"Jason","Muzzatti",1
8457714,"Felix","Potvin",1
8457791,"Damian","Rhodes",1
8457866,"Dominic","Roussel",1
8457928,"Geoff","Sarjeant",1
8457969,"Corey","Schwab",1
8458075,"Garth","Snow",1
8458080,"Tommy","Soderstrom",1
8458266,"Roman","Turek",1
8458562,"Jamie","McLennan",1
8458568,"Chris","Osgood",1
8458576,"Marcel","Cousineau",1
8458584,"Milan","Hnilicka",1
8458588,"Mike","Torchia",1
8458615,"Steve","Shields",1
8458680,"Corey","Hirsch",1
8458800,"Andrei","Trefilov",1
8458932,"Richard","Shulmistra",1
8458968,"Jim","Carey",1
8458981,"Mike","Fountain",1
8458988,"Manny","Fernandez",1
8459028,"Marc","Lamothe",1
8459045,"Joaquin","Gage",1
8459048,"Scott","Bailey",1
8459051,"Philippe","De Rouville",1
8459081,"Derek","Wilkinson",1
8459132,"Steve","Passmore",1
8459140,"Nikolai","Khabibulin",1
8459239,"Jean-Francois","Labbe",1
8459252,"Fred","Brathwaite",1
8459306,"Robbie","Tallas",1
8459308,"Manny","Legace",1
8459350,"Darrin","Madeley",1
8459357,"Kevin","Hodson",1
8459365,"Mikhail","Shtalenkov",1
8459432,"Jocelyn","Thibault",1
8459451,"Tyler","Moss",1
8459453,"Scott","Langkow",1
8459463,"Kevin","Weekes",1
8459523,"Dieter","Kochan",1
8459541,"Tommy","Salo",1
8459549,"Norm","Maracle",1
8459579,"Patrick","Lalime",1
8460318,"Blaine","Lacher",1
8460497,"Jamie","Storr",1
8460506,"Eric","Fichaud",1
8460516,"Dan","Cloutier",1
8460535,"Jose","Theodore",1
8460612,"Marty","Turco",1
8460696,"Frederic","Cassivi",1
8460703,"Tim","Thomas",1
8460704,"Johan","Hedberg",1
8460705,"Evgeni","Nabokov",1
8460712,"Tomas","Vokoun",1
8460715,"John","Grahame",1
8460761,"Scott","Fankhouser",1
8460806,"Dwayne","Roloson",1
8462044,"Jean-Sebastien","Giguere",1
8462047,"Martin","Biron",1
8462052,"Brian","Boucher",1
8462055,"Marc","Denis",1
8462102,"Jean-Sebastien","Aubin",1
8462110,"Mike","Minard",1
8462117,"Vesa","Toskala",1
8462120,"Sebastien","Charpentier",1
8462147,"Miikka","Kiprusoff",1
8462152,"Chris","Mason",1
8462161,"Brent","Johnson",1
8462247,"Zac","Bierk",1
8462255,"Jussi","Markkanen",1
8464715,"Peter","Skudra",1
8464999,"Mathieu","Garon",1
8465093,"Robert","Esche",1
8465161,"Steve","Valiquette",1
8465962,"Rich","Parent",1
8466141,"Roberto","Luongo",1
8466156,"Mika","Noronen",1
8466159,"Jean-Francois","Damphousse",1
8466165,"Jean-Marc","Pelletier",1
8466192,"Jani","Hurme",1
8466290,"David","Aebischer",1
8466303,"Johan","Holmqvist",1
8466339,"Scott","Clemmensen",1
8467340,"Patrick","Desrochers",1
8467364,"Philippe","Sauve",1
8467391,"Jason","LaBarbera",1
8467430,"Dany","Sabourin",1
8467453,"Andrew","Raycroft",1
8467486,"Mike","Morrison",1
